Country,Year,Total_Access,Urban_Access,Rural_Access
BRA,2040,100,100,98.8336572
BRA,2041,100,100,99.83424579
BRA,2042,100,100,100
BRA,2043,100,100,100
BRA,2044,100,100,100
BRA,2045,100,100,100
BRA,2046,100,100,100
BRA,2047,100,100,100
BRA,2048,100,100,100
BRA,2049,100,100,100
BRA,2050,100,100,100
BRB,2020,100,100,100
BRB,2021,100,100,100
BRB,2022,100,100,100
BRB,2023,100,100,100
BRB,2024,100,100,100
BRB,2025,100,100,100
BRB,2026,100,100,100
BRB,2027,100,100,100
BRB,2028,100,100,100
BRB,2029,100,100,100
BRB,2030,100,100,100
BRB,2031,100,100,100
BRB,2032,100,100,100
BRB,2033,100,100,100
BRB,2034,100,100,100
BRB,2035,100,100,100
BRB,2036,100,100,100
BRB,2037,100,100,100
BRB,2038,100,100,100
BRB,2039,100,100,100
BRB,2040,100,100,100
BRB,2041,100,100,100
BRB,2042,100,100,100
BRB,2043,100,100,100
BRB,2044,100,100,100
BRB,2045,100,100,100
BRB,2046,100,100,100
BRB,2047,100,100,100
BRB,2048,100,100,100
BRB,2049,100,100,100
BRB,2050,100,100,100
BRN,2020,100,100,100
BRN,2021,100,100,100
BRN,2022,100,100,100
BRN,2023,100,100,100
BRN,2024,100,100,100
BRN,2025,100,100,100
BRN,2026,100,100,100
BRN,2027,100,100,100
BRN,2028,100,100,100
BRN,2029,100,100,100
BRN,2030,100,100,100
BRN,2031,100,100,100
BRN,2032,100,100,100
BRN,2033,100,100,100
BRN,2034,100,100,100
BRN,2035,100,100,100
BRN,2036,100,100,100
BRN,2037,100,100,100
BRN,2038,100,100,100
BRN,2039,100,100,100
BRN,2040,100,100,100
BRN,2041,100,100,100
BRN,2042,100,100,100
BRN,2043,100,100,100
BRN,2044,100,100,100
BRN,2045,100,100,100
BRN,2046,100,100,100
BRN,2047,100,100,100
BRN,2048,100,100,100
BRN,2049,100,100,100
BRN,2050,100,100,100
BTN,2020,86,97.7,78.1
BTN,2021,86.90662512,98.68283614,79.01476716
BTN,2022,87.82280802,99.67555936,79.94024877
BTN,2023,88.74864946,100,80.87657033
BTN,2024,89.68425126,100,81.82385881
BTN,2025,90.62971632,100,82.78224266
BTN,2026,91.58514861,100,83.75185183
BTN,2027,92.55065322,100,84.73281782
BTN,2028,93.52633633,100,85.72527363
BTN,2029,94.51230523,100,86.72935384
BTN,2030,95.50866837,100,87.74519462
BTN,2031,96.51553532,100,88.7729337
BTN,2032,97.53301682,100,89.81271044
