Country.Name,iso3c,year,total_building_stock_m2,Construction Comparative,Total_Cost,Construction_Intensity,Building_Intensity,Embodied_Carbon_Buildings,Embodied_Carbon_Construction
Burundi,BDI,2040,49183009.798,776.65,38197984559.6167,899792.8,62727133,2396050057.803023,34370271.48125428
Burundi,BDI,2041,52220568.4525463,776.65,40557104488.67008,899792.8,62727133,2544030887.3557057,36492990.60775302
Burundi,BDI,2042,55445727.7158741,776.65,43061924430.533615,899792.8,62727133,2701151060.9900317,38746809.55673825
Burundi,BDI,2043,58870073.8624944,776.65,45721442865.306274,899792.8,62727133,2867975027.5639677,41139825.09581396
Burundi,BDI,2044,62505908.7389943,776.65,48545214022.13992,899792.8,62727133,3045102096.480236,43680634.05158054
Burundi,BDI,2045,66366293.958,776.65,51543382202.4807,899792.8,62727133,3233168590.6848392,46378364.193440266
Burundi,BDI,2046,70424151.8136758,776.65,54694917506.09132,899792.8,62727133,3430855364.8286185,49214092.968574926
Burundi,BDI,2047,74730120.711792707,776.65,58039148250.813805,899792.8,62727133,3640629371.5355153,52223207.71421486
Burundi,BDI,2048,79299370.9938389,776.65,61587856482.36498,899792.8,62727133,3863229664.75422,55416309.830265336
Burundi,BDI,2049,84148000.566874,776.65,65353544640.26269,899792.8,62727133,4099440486.671195,58804648.921786964
Burundi,BDI,2050,89293091.618,776.65,69349479605.1197,899792.8,62727133,4350094030.671131,62400162.43243355
Cabo Verde,CPV,2020,7333649.932,943.25,6917465298.359,899792.8,62727133,433912765.7930497,6224285.469713281
Cabo Verde,CPV,2021,7730416.16979924,943.25,7291715052.163134,899792.8,62727133,457388379.8751389,6561032.703588013
Cabo Verde,CPV,2022,8148648.31460483,943.25,7686212522.751006,899792.8,62727133,482134075.18086785,6915998.687241192
Cabo Verde,CPV,2023,8589507.71816422,943.25,8102053155.158401,899792.8,62727133,508218565.83669066,7290169.0942288125
Cabo Verde,CPV,2024,9054218.56385278,943.25,8540391660.354135,899792.8,62727133,535714283.55112463,7684582.925166696
Cabo Verde,CPV,2025,9544071.266,943.25,9002445221.654501,899792.8,62727133,564697578.7439364,8100335.392839124
Cabo Verde,CPV,2026,10009060.4795397,943.25,9441046297.325823,899792.8,62727133,592209766.7515146,8494985.482800435
Cabo Verde,CPV,2027,10496704.0679978,943.25,9901016112.138926,899792.8,62727133,621062354.5012813,8908863.010386597
Cabo Verde,CPV,2028,11008105.7574136,943.25,10383395755.680378,899792.8,62727133,651320646.5581986,9342904.740511764
Cabo Verde,CPV,2029,11544423.0475973,943.25,10889277039.646154,899792.8,62727133,683053129.1397306,9798093.077478927
Cabo Verde,CPV,2030,12106869.832,943.25,11419804969.034,899792.8,62727133,716331625.1266568,10275458.288541017
Cabo Verde,CPV,2031,12647553.4630337,943.25,11929804804.006538,899792.8,62727133,748322452.604957,10734352.468050495
Cabo Verde,CPV,2032,13212383.6152513,943.25,12462580845.085789,899792.8,62727133,781741966.1929487,11213740.51382611
Cabo Verde,CPV,2033,13802438.6539883,943.25,13019150260.374464,899792.8,62727133,816653969.9294937,11714537.666403068
Cabo Verde,CPV,2034,14418845.103559,943.25,13600575643.932028,899792.8,62727133,853125117.2934849,12237700.040265404
Cabo Verde,CPV,2035,15062779.798,943.25,14207967044.463501,899792.8,62727133,891225038.4576789,12784226.449245539
Cabo Verde,CPV,2036,15679511.8599971,943.25,14789699561.942265,899792.8,62727133,927715451.4519942,13307665.179998804
Cabo Verde,CPV,2037,16321495.4652947,943.25,15395250597.639225,899792.8,62727133,965699931.8064452,13852535.641951473
Cabo Verde,CPV,2038,16989764.515774,943.25,16025595379.503826,899792.8,62727133,1005239652.7743219,14419715.33819081
Cabo Verde,CPV,2039,17685395.2455049,943.25,16681749065.322498,899792.8,62727133,1046398292.2931101,15010117.700383915
Cabo Verde,CPV,2040,18409507.954,943.25,17364768377.6105,899792.8,62727133,1089242135.5365682,15624693.55984161
Cabo Verde,CPV,2041,19087532.3836494,943.25,18004314920.877296,899792.8,62727133,1129359056.6157546,16200152.934737962
Cabo Verde,CPV,2042,19790528.5359732,943.25,18667416041.55672,899792.8,62727133,1170953488.805062,16796806.54879724
Cabo Verde,CPV,2043,20519416.122572,943.25,19354939257.61604,899792.8,62727133,1214079849.0194025,17415434.988440257
Cabo Verde,CPV,2044,21275148.7281369,943.25,20067784037.815132,899792.8,62727133,1258794558.3553066,18056847.589180984
Cabo Verde,CPV,2045,22058715.058,943.25,20806882978.4585,899792.8,62727133,1305156115.9052024,18721883.494459514
Cabo Verde,CPV,2046,22784385.3465527,943.25,21491371478.135834,899792.8,62727133,1348092117.0614328,19337781.31815198
Cabo Verde,CPV,2047,23533928.1664972,943.25,22198377743.048485,899792.8,62727133,1392440593.072442,19973940.464875277
Cabo Verde,CPV,2048,24308128.857628,943.25,22928642544.95761,899792.8,62727133,1438248010.4270146,20631027.475726537
Cabo Verde,CPV,2049,25107798.595231,943.25,23682931024.95164,899792.8,62727133,1485562364.231968,21309730.81914811
Cabo Verde,CPV,2050,25933775.24,943.25,24462033495.129997,899792.8,62727133,1534433228.499474,22010761.612276807
Cambodia,KHM,2020,139322541.408,459.69,64045179059.84351,367489.6482,14047106.88,899649475.4023597,23535940.3216079
Cambodia,KHM,2021,147119619.610128,459.69,67629417938.579735,367489.6482,14047106.88,949997662.0154188,24853111.006219435
Cambodia,KHM,2022,155353055.25934,459.69,71414245972.166,367489.6482,14047106.88,1003163545.9256253,26243996.12877955
Cambodia,KHM,2023,164047268.762446,459.69,75410888977.4088,367489.6482,14047106.88,1059304817.3814754,27712721.060757216
Cambodia,KHM,2024,173228047.195424,459.69,79631201015.26445,367489.6482,14047106.88,1118587991.6441844,29263642.046843015
Cambodia,KHM,2025,182922620.788,459.69,84087699550.03572,367489.6482,14047106.88,1181188902.8726797,30901359.125589922
Cambodia,KHM,2026,193316827.947982,459.69,88865812639.40785,367489.6482,14047106.88,1248307568.1238172,32657266.223863106
Cambodia,KHM,2027,204301664.861786,459.69,93915432320.3144,367489.6482,14047106.88,1319240115.4848628,34512949.18394324
Cambodia,KHM,2028,215910692.868026,459.69,99251986404.50287,367489.6482,14047106.88,1394203261.0763586,36474077.56694194
Cambodia,KHM,2029,228179380.360353,459.69,104891779357.85066,367489.6482,14047106.88,1473426035.4731061,38546643.09528857
Cambodia,KHM,2030,241145211.152,459.69,110852042114.46289,367489.6482,14047106.88,1557150483.4481215,40736977.95889556
Cambodia,KHM,2031,254473118.841996,459.69,116978748000.47714,367489.6482,14047106.88,1643212975.8512888,42988478.949571796
Cambodia,KHM,2032,268537649.592199,459.69,123444072141.03796,367489.6482,14047106.88,1734032075.0675907,45364418.64348546
Cambodia,KHM,2033,283379515.984467,459.69,130266729702.89964,367489.6482,14047106.88,1829870675.0447018,47871674.67068308
Cambodia,KHM,2034,299041680.753296,459.69,137466470225.48264,367489.6482,14047106.88,1931006199.6736925,50517504.78245838
Cambodia,KHM,2035,315569481.15,459.69,145064134789.84348,367489.6482,14047106.88,2037731405.8476574,53309567.86035696
Cambodia,KHM,2036,332122539.942245,459.69,152673410386.0506,367489.6482,14047106.88,2144619713.4269547,56105897.87226395
Cambodia,KHM,2037,349543882.176795,459.69,160681827197.8509,367489.6482,14047106.88,2257114800.3219023,59048908.14907141
Cambodia,KHM,2038,367879053.280974,459.69,169110322002.73093,367489.6482,14047106.88,2375510767.683577,62146292.7397723
Cambodia,KHM,2039,387175987.747526,459.69,177980929807.66022,367489.6482,14047106.88,2500117143.6099815,65406149.28132595
Cambodia,KHM,2040,407485134.452,459.69,187316841456.2399,367489.6482,14047106.88,2631259692.359817,68837000.16868879
Cambodia,KHM,2041,427619409.387384,459.69,196572366301.28656,367489.6482,14047106.88,2761273039.0886827,72238309.73790133
Cambodia,KHM,2042,448748540.313573,459.69,206285216496.74637,367489.6482,14047106.88,2897710483.893736,75807681.63925017
Cambodia,KHM,2043,470921684.125743,459.69,216477988975.7628,367489.6482,14047106.88,3040889448.310002,79553420.01174656
Cambodia,KHM,2044,494190426.61367,459.69,227174397210.03796,367489.6482,14047106.88,3191143038.0089774,83484239.31076391
Cambodia,KHM,2045,518608902.476,459.69,238399326379.19244,367489.6482,14047106.88,3348820817.76852,87609284.5822064
Cambodia,KHM,2046,542704920.214967,459.69,249476024773.6182,367489.6482,14047106.88,3504416383.9925427,91679856.57839143
Cambodia,KHM,2047,567920506.222247,459.69,261067377505.30472,367489.6482,14047106.88,3667241354.6983237,95939558.71592101
Cambodia,KHM,2048,594307678.765795,459.69,273197296851.8483,367489.6482,14047106.88,3837631628.205001,100397178.5092767
Cambodia,KHM,2049,621920873.027549,459.69,285890806122.034,367489.6482,14047106.88,4015938709.60557,105061911.76540066
Cambodia,KHM,2050,650817053.4,459.69,299174091277.446,367489.6482,14047106.88,4202530435.9011593,109943381.5541033
