Country Name,iso3c,Population,year,Average household size (number of members),gdp_ppp,GDP,average_household_size,num_households,gdp_per_capita,avg_m2_capita,residential_building_stock_m2
Malawi,MWI,35344273,2047,4.28,98.50958461826326,98509584618.26326,4.28,8258007.710280374,2787.1441751896627,2.787144175189663,98509584.61826327
Malawi,MWI,35952327,2048,4.28,103.71773851127821,103717738511.27821,4.28,8400076.40186916,2884.8685791959506,2.8848685791959507,103717738.51127821
Malawi,MWI,36557676,2049,4.28,109.20124497103515,109201244971.03516,4.28,8541513.084112149,2987.0948298528374,2.9870948298528375,109201244.97103515
Malawi,MWI,37159300,2050,4.28,114.97466175400001,114974661754.00002,4.28,8682079.439252336,3094.101927485179,3.094101927485179,114974661.75400001
Malaysia,MYS,33199993,2020,4.57,852.512768466,852512768466,4.57,7264768.7089715535,25678.1008497803,25.6781008497803,852512768.466
Malaysia,MYS,33573874,2021,4.57,889.859156106563,889859156106.563,4.57,7346580.743982494,26504.512291508658,26.504512291508657,889859156.106563
Malaysia,MYS,33938221,2022,4.57,928.8415927558802,928841592755.8802,4.57,7426306.564551421,27368.599926197672,27.36859992619767,928841592.7558802
Malaysia,MYS,34308525,2023,4.57,969.5317495052716,969531749505.2716,4.57,7507335.886214442,28259.208156144035,28.259208156144034,969531749.5052714
Malaysia,MYS,34671895,2024,4.57,1012.0044371718858,1012004437171.8857,4.57,7586847.921225382,29188.033627002093,29.188033627002092,1012004437.1718857
Malaysia,MYS,35028030,2025,4.57,1056.337743842,1056337743842,4.57,7664776.80525164,30156.92700508707,30.15692700508707,1056337743.842
Malaysia,MYS,35376942,2026,4.57,1095.208094718436,1095208094718.436,4.57,7741125.164113785,30958.246609286805,30.958246609286807,1095208094.718436
Malaysia,MYS,35718158,2027,4.57,1135.5087686009988,1135508768600.9988,4.57,7815789.496717724,31790.798635276733,31.790798635276733,1135508768.6009986
Malaysia,MYS,36050662,2028,4.57,1177.2923974792568,1177292397479.2568,4.57,7888547.483588621,32656.609675552056,32.656609675552055,1177292397.4792569
Malaysia,MYS,36373834,2029,4.57,1220.613550056594,1220613550056.594,4.57,7959263.457330415,33557.46193971727,33.55746193971727,1220613550.0565941
Malaysia,MYS,36687569,2030,4.57,1265.528803016,1265528803016,4.57,8027914.442013129,34494.75769343016,34.49475769343016,1265528803.0159998
