Country Name,iso3c,year,total_building_stock_m2,BEC (toe/m2),BCE (tCO2e/m2),DBE (tCO2e/m2),Building Energy Consumption (toe),Building Carbon Emissions (tCO2e),Direct Building Emissions (tCO2e)
Sao Tome and Principe,STP,2032,656671.7656815834,NA,NA,NA,NA,NA,NA
Sao Tome and Principe,STP,2033,686459.7403524922,NA,NA,NA,NA,NA,NA
Sao Tome and Principe,STP,2034,717598.9584929198,NA,NA,NA,NA,NA,NA
Sao Tome and Principe,STP,2035,750150.7152709363,NA,NA,NA,NA,NA,NA
Sao Tome and Principe,STP,2036,785170.4255565805,NA,NA,NA,NA,NA,NA
Sao Tome and Principe,STP,2037,821824.9807920795,NA,NA,NA,NA,NA,NA
Sao Tome and Principe,STP,2038,860190.7013692424,NA,NA,NA,NA,NA,NA
Sao Tome and Principe,STP,2039,900347.4705879139,NA,NA,NA,NA,NA,NA
Sao Tome and Principe,STP,2040,942378.9009852217,NA,NA,NA,NA,NA,NA
Sao Tome and Principe,STP,2041,986442.7934053488,NA,NA,NA,NA,NA,NA
Sao Tome and Principe,STP,2042,1032567.0318425421,NA,NA,NA,NA,NA,NA
Sao Tome and Principe,STP,2043,1080847.9542614461,NA,NA,NA,NA,NA,NA
Sao Tome and Principe,STP,2044,1131386.4032115433,NA,NA,NA,NA,NA,NA
Sao Tome and Principe,STP,2045,1184287.9364532023,NA,NA,NA,NA,NA,NA
Sao Tome and Principe,STP,2046,1238444.1666755273,NA,NA,NA,NA,NA,NA
Sao Tome and Principe,STP,2047,1295076.903819536,NA,NA,NA,NA,NA,NA
Sao Tome and Principe,STP,2048,1354299.395917967,NA,NA,NA,NA,NA,NA
Sao Tome and Principe,STP,2049,1416230.0697158815,NA,NA,NA,NA,NA,NA
Sao Tome and Principe,STP,2050,1480992.767487685,NA,NA,NA,NA,NA,NA
Suriname,SUR,2020,4796284.556476684,0.0026687324009405287,0.1042473594117394,0,12800,500000,0
Suriname,SUR,2021,4857228.661987089,0.0026687324009405287,0.1042473594117394,0,12962.643509021955,506353.2620711701,0
Suriname,SUR,2022,4918947.155245495,0.0026687324009405287,0.1042473594117394,0,13127.353651717893,512787.2520202302,0
Suriname,SUR,2023,4981449.876028518,0.0026687324009405287,0.1042473594117394,0,13294.156687818486,519302.99561790965,0
Suriname,SUR,2024,5044746.789142134,0.0026687324009405287,0.1042473594117394,0,13463.079210724309,525901.5316689183,0
Suriname,SUR,2025,5108847.986010362,0.0026687324009405287,0.1042473594117394,0,13634.14815174562,532583.9121775633,0
Suriname,SUR,2026,5256871.740763755,0.0026687324009405287,0.1042473594117394,0,14029.183942164871,548014.9977408153,0
Suriname,SUR,2027,5409184.335590544,0.0026687324009405287,0.1042473594117394,0,14435.66549905045,563893.1835566582,0
Suriname,SUR,2028,5565910.035337313,0.0026687324009405287,0.1042473594117394,0,14853.92445202473,580231.423907216,0
Suriname,SUR,2029,5727176.705300147,0.0026687324009405287,0.1042473594117394,0,15284.302039346327,597043.048411966,0
Suriname,SUR,2030,5893115.915544044,0.0026687324009405287,0.1042473594117394,0,15727.149386310699,614341.7729027617,0
Suriname,SUR,2031,6070059.857725636,0.0026687324009405287,0.1042473594117394,0,16199.36541796086,632787.7116390961,0
Suriname,SUR,2032,6252316.635955843,0.0026687324009405287,0.1042473594117394,0,16685.759987314847,651787.4995044862,0
Suriname,SUR,2033,6440045.770964966,0.0026687324009405287,0.1042473594117394,0,17186.758812514232,671357.7661138372,0
Suriname,SUR,2034,6633411.573178148,0.0026687324009405287,0.1042473594117394,0,17702.80039411441,691515.6403950941,0
Suriname,SUR,2035,6832583.286528498,0.0026687324009405287,0.1042473594117394,0,18234.336398883326,712278.76558138,0
Suriname,SUR,2036,7042488.794216431,0.0026687324009405287,0.1042473594117394,0,18794.518028385985,734160.8604838275,0
Suriname,SUR,2037,7258842.861740376,0.0026687324009405287,0.1042473594117394,0,19371.90913846241,756715.200721188,0
