Country,iso3c,Year,extraction_5.4
Tanzania,TZA,2048,41477414.45176482
Tanzania,TZA,2049,42060236.24941182
Tanzania,TZA,2050,42643058.04705882
Thailand,THA,2021,384406857.9521618
Thailand,THA,2022,392057600.0574093
Thailand,THA,2023,399708342.1626587
Thailand,THA,2024,407359084.2679081
Thailand,THA,2025,415009826.3731556
Thailand,THA,2026,422660568.478405
Thailand,THA,2027,430311310.5836544
Thailand,THA,2028,437962052.6889019
Thailand,THA,2029,445612794.7941513
Thailand,THA,2030,453263536.8994007
Thailand,THA,2031,460914279.0046482
Thailand,THA,2032,468565021.1098976
Thailand,THA,2033,476215763.215147
Thailand,THA,2034,483866505.3203945
Thailand,THA,2035,491517247.4256439
Thailand,THA,2036,499167989.5308933
Thailand,THA,2037,506818731.63614273
Thailand,THA,2038,514469473.7413902
Thailand,THA,2039,522120215.84663963
Thailand,THA,2040,529770957.95188904
Thailand,THA,2041,537421700.0571365
Thailand,THA,2042,545072442.162386
Thailand,THA,2043,552723184.2676353
Thailand,THA,2044,560373926.3728828
Thailand,THA,2045,568024668.4781322
Thailand,THA,2046,575675410.5833817
Thailand,THA,2047,583326152.6886292
Thailand,THA,2048,590976894.7938786
Thailand,THA,2049,598627636.899128
Thailand,THA,2050,606278379.0043755
Timor-Leste,TLS,2021,1028219.6784313768
Timor-Leste,TLS,2022,1056911.0159879401
Timor-Leste,TLS,2023,1085602.3535445035
Timor-Leste,TLS,2024,1114293.6911010593
Timor-Leste,TLS,2025,1142985.0286576226
Timor-Leste,TLS,2026,1171676.366214186
Timor-Leste,TLS,2027,1200367.7037707418
Timor-Leste,TLS,2028,1229059.0413273051
Timor-Leste,TLS,2029,1257750.3788838685
Timor-Leste,TLS,2030,1286441.7164404243
Timor-Leste,TLS,2031,1315133.0539969876
Timor-Leste,TLS,2032,1343824.391553551
Timor-Leste,TLS,2033,1372515.7291101068
Timor-Leste,TLS,2034,1401207.0666666701
Timor-Leste,TLS,2035,1429898.4042232335
Timor-Leste,TLS,2036,1458589.7417797893
Timor-Leste,TLS,2037,1487281.0793363526
Timor-Leste,TLS,2038,1515972.4168929085
Timor-Leste,TLS,2039,1544663.7544494718
Timor-Leste,TLS,2040,1573355.0920060351
Timor-Leste,TLS,2041,1602046.429562591
Timor-Leste,TLS,2042,1630737.7671191543
Timor-Leste,TLS,2043,1659429.1046757177
Timor-Leste,TLS,2044,1688120.4422322735
Timor-Leste,TLS,2045,1716811.7797888368
Timor-Leste,TLS,2046,1745503.1173454002
Timor-Leste,TLS,2047,1774194.454901956
Timor-Leste,TLS,2048,1802885.7924585193
Timor-Leste,TLS,2049,1831577.1300150827
Timor-Leste,TLS,2050,1860268.4675716385
Togo,TGO,2021,7581380.384313762
Togo,TGO,2022,7657431.961689323
Togo,TGO,2023,7733483.539064884
Togo,TGO,2024,7809535.116440475
Togo,TGO,2025,7885586.693816036
Togo,TGO,2026,7961638.271191597
Togo,TGO,2027,8037689.848567158
Togo,TGO,2028,8113741.425942719
Togo,TGO,2029,8189793.00331828
Togo,TGO,2030,8265844.580693841
Togo,TGO,2031,8341896.158069432
Togo,TGO,2032,8417947.735444993
Togo,TGO,2033,8493999.312820554
Togo,TGO,2034,8570050.890196115
Togo,TGO,2035,8646102.467571676
Togo,TGO,2036,8722154.044947237
Togo,TGO,2037,8798205.622322798
Togo,TGO,2038,8874257.199698389
Togo,TGO,2039,8950308.77707395
Togo,TGO,2040,9026360.35444951
Togo,TGO,2041,9102411.931825072
Togo,TGO,2042,9178463.509200633
Togo,TGO,2043,9254515.086576194
Togo,TGO,2044,9330566.663951755
Togo,TGO,2045,9406618.241327345
Togo,TGO,2046,9482669.818702906
Togo,TGO,2047,9558721.396078467
Togo,TGO,2048,9634772.973454028
Togo,TGO,2049,9710824.55082959
Togo,TGO,2050,9786876.12820515
Tonga,TON,2021,703411.7325490266
Tonga,TON,2022,720503.8233182579
Tonga,TON,2023,737595.9140874818
Tonga,TON,2024,754688.0048567131
Tonga,TON,2025,771780.0956259444
Tonga,TON,2026,788872.1863951758
