,Country Name,iso3c,Population,year,Average household size (number of members),gdp_ppp,GDP,average_household_size,num_households,gdp_per_capita,avg_m2_capita,residential_building_stock_m2,total_building_stock_m2,,
130,Argentina,ARG,47075644,2025,2.95,1056.849543,1.05685E+12,2.95,15957845.42,22450.02836,22.45002836,1056849543,2113699086,,
131,Argentina,ARG,47348576,2026,2.95,1066.653296,1.06665E+12,2.95,16050364.75,22527.67425,22.52767425,1066653296,2133306592,,
132,Argentina,ARG,47618080,2027,2.95,1076.547993,1.07655E+12,2.95,16141722.03,22607.96724,22.60796724,1076547993,2153095986,,
133,Argentina,ARG,47883184,2028,2.95,1086.534477,1.08653E+12,2.95,16231587.8,22691.35813,22.69135813,1086534477,2173068953,,
134,Argentina,ARG,48144012,2029,2.95,1096.613599,1.09661E+12,2.95,16320004.07,22777.77762,22.77777762,1096613599,2193227198,,
135,Argentina,ARG,48400764,2030,2.95,1106.786219,1.10679E+12,2.95,16407038.64,22867.12291,22.86712291,1106786219,2213572439,,
136,Argentina,ARG,48651616,2031,2.95,1120.358,1.12036E+12,2.95,16492073.22,23028.17649,23.02817649,1120358000,2240715999,,
137,Argentina,ARG,48900004,2032,2.95,1134.096202,1.1341E+12,2.95,16576272.54,23192.14947,23.19214947,1134096202,2268192404,,
138,Argentina,ARG,49144116,2033,2.95,1148.002866,1.148E+12,2.95,16659022.37,23359.92505,23.35992505,1148002866,2296005733,,
139,Argentina,ARG,49384448,2034,2.95,1162.080059,1.16208E+12,2.95,16740490.85,23531.2959,23.5312959,1162080059,2324160118,,
140,Argentina,ARG,49619348,2035,2.95,1176.329871,1.17633E+12,2.95,16820117.97,23707.08037,23.70708037,1176329871,2352659742,,
141,Argentina,ARG,49849220,2036,2.95,1191.688952,1.19169E+12,2.95,16898040.68,23905.86959,23.90586959,1191688952,2383377905,,
142,Argentina,ARG,50074416,2037,2.95,1207.248574,1.20725E+12,2.95,16974378.31,24109.08944,24.10908944,1207248574,2414497148,,
143,Argentina,ARG,50292084,2038,2.95,1223.011355,1.22301E+12,2.95,17048164.07,24318.16813,24.31816813,1223011355,2446022709,,
144,Argentina,ARG,50502480,2039,2.95,1238.979946,1.23898E+12,2.95,17119484.75,24533.05157,24.53305157,1238979946,2477959892,,
145,Argentina,ARG,50706752,2040,2.95,1255.157036,1.25516E+12,2.95,17188729.49,24753.25251,24.75325251,1255157036,2510314072,,
146,Argentina,ARG,50903340,2041,2.95,1272.184779,1.27218E+12,2.95,17255369.49,24992.16709,24.99216709,1272184779,2544369557,,
147,Argentina,ARG,51090756,2042,2.95,1289.443523,1.28944E+12,2.95,17318900.34,25238.29406,25.23829406,1289443523,2578887047,,
148,Argentina,ARG,51271540,2043,2.95,1306.936404,1.30694E+12,2.95,17380183.05,25490.48467,25.49048467,1306936404,2613872809,,
149,Argentina,ARG,51443848,2044,2.95,1324.666598,1.32467E+12,2.95,17438592.54,25749.75724,25.74975724,1324666598,2649333195,,
150,Argentina,ARG,51607816,2045,2.95,1342.637322,1.34264E+12,2.95,17494174.92,26016.16241,26.01616241,1342637322,2685274645,,
151,Argentina,ARG,51763440,2046,2.95,1362.49358,1.36249E+12,2.95,17546928.81,26321.54239,26.32154239,1362493580,2724987161,,
152,Argentina,ARG,51911760,2047,2.95,1382.643492,1.38264E+12,2.95,17597206.78,26634.49462,26.63449462,1382643492,2765286985,,
153,Argentina,ARG,52048972,2048,2.95,1403.091401,1.40309E+12,2.95,17643719.32,26957.13954,26.95713954,1403091401,2806182803,,
154,Argentina,ARG,52175896,2049,2.95,1423.841714,1.42384E+12,2.95,17686744.41,27289.26235,27.28926235,1423841714,2847683429,,
155,Argentina,ARG,52288896,2050,2.95,1444.898904,1.4449E+12,2.95,17725049.49,27632.99695,27.63299695,1444898904,2889797807,,
156,Armenia,ARM,2573465,2050,3.54,95.52105317,95521053166,3.54,726967.5141,37117.68109,37.11768109,95521053.17,191042106.3,,
157,Armenia,ARM,2585903,2049,3.54,93.8274034,93827403403,3.54,730481.0734,36284.19295,36.28419295,93827403.4,187654806.8,,
158,Armenia,ARM,2598016,2048,3.54,92.16378314,92163783140,3.54,733902.8249,35474.67881,35.47467881,92163783.14,184327566.3,,
159,Armenia,ARM,2609802,2047,3.54,90.52965994,90529659936,3.54,737232.2034,34688.32499,34.68832499,90529659.94,181059319.9,,
160,Armenia,ARM,2621300,2046,3.54,88.92451079,88924510787,3.54,740480.226,33923.82054,33.92382054,88924510.79,177849021.6,,
161,Armenia,ARM,2632515,2045,3.54,87.34782197,87347821967,3.54,743648.3051,33180.37009,33.18037009,87347821.97,174695643.9,,
